Time,Rain
1901-1,28.7
1901-2,44.7
1901-3,51.6
1901-4,160.0
1901-5,174.7
1901-6,824.6
1901-7,743.0
1901-8,357.5
1901-9,197.7
1901-10,266.9
1901-11,350.8
1901-12,48.4
1902-1,6.7
1902-2,2.6
1902-3,57.3
1902-4,83.9
1902-5,134.5
1902-6,390.9
1902-7,1205.0
1902-8,315.8
1902-9,491.6
1902-10,358.4
1902-11,158.3
1902-12,121.5
1903-1,3.2
1903-2,18.6
1903-3,3.1
1903-4,83.6
1903-5,249.7
1903-6,558.6
1903-7,1022.5
1903-8,420.2
1903-9,341.8
1903-10,354.1
1903-11,157.0
1903-12,59.0
1904-1,23.7
1904-2,3.0
1904-3,32.2
1904-4,71.5
1904-5,235.7
1904-6,1098.2
1904-7,725.5
1904-8,351.8
1904-9,222.7
1904-10,328.1
1904-11,33.9
1904-12,3.3
1905-1,1.2
1905-2,22.3
1905-3,9.4
1905-4,105.9
1905-5,263.3
1905-6,850.2
1905-7,520.5
1905-8,293.6
1905-9,217.2
1905-10,383.5
1905-11,74.4
1905-12,0.2
1906-1,26.7
1906-2,7.4
1906-3,9.9
1906-4,59.4
1906-5,160.8
1906-6,414.9
1906-7,954.2
1906-8,442.8
1906-9,131.2
1906-10,251.7
1906-11,163.1
1906-12,86.0
1907-1,18.8
1907-2,4.8
1907-3,55.7
1907-4,170.8
1907-5,101.4
1907-6,770.9
1907-7,760.4
1907-8,981.5
1907-9,225.0
1907-10,309.7
1907-11,219.1
1907-12,52.8
1908-1,8.0
1908-2,20.8
1908-3,38.2
1908-4,102.9
1908-5,142.6
1908-6,592.6
1908-7,902.2
1908-8,352.9
1908-9,175.9
1908-10,253.3
1908-11,47.9
1908-12,11.0
1909-1,54.1
1909-2,11.8
1909-3,61.3
1909-4,93.8
1909-5,473.2
1909-6,704.7
1909-7,782.3
1909-8,258.0
1909-9,195.4
1909-10,212.1
1909-11,171.1
1909-12,32.3
1910-1,2.7
1910-2,25.7
1910-3,23.3
1910-4,124.5
1910-5,148.8
1910-6,680.0
1910-7,484.1
1910-8,473.8
1910-9,248.6
1910-10,356.6
1910-11,280.4
1910-12,0.1
1911-1,3.0
1911-2,4.3
1911-3,18.2
1911-4,51.0
1911-5,180.6
1911-6,990.0
1911-7,705.3
1911-8,178.6
1911-9,60.2
1911-10,302.3
1911-11,145.7
1911-12,87.6
1912-1,1.9
1912-2,15.0
1912-3,11.2
1912-4,122.7
1912-5,217.3
1912-6,948.2
1912-7,833.6
1912-8,534.4
1912-9,136.8
1912-10,469.5
1912-11,138.7
1912-12,22.0
1913-1,3.1
1913-2,5.2
1913-3,20.7
1913-4,75.7
1913-5,198.8
1913-6,541.7
1913-7,763.2
1913-8,247.2
1913-9,176.9
1913-10,422.5
1913-11,109.9
1913-12,45.8
1914-1,0.7
1914-2,6.8
1914-3,18.1
1914-4,32.7
1914-5,164.2
1914-6,565.3
1914-7,857.7
1914-8,402.2
1914-9,241.0
1914-10,374.4
1914-11,100.9
1914-12,135.2
1915-1,16.9
1915-2,23.5
1915-3,42.7
1915-4,106.0
1915-5,154.5
1915-6,696.1
1915-7,775.6
1915-8,298.8
1915-9,396.6
1915-10,196.6
1915-11,302.5
1915-12,14.9
1916-1,0.0
1916-2,7.8
1916-3,22.0
1916-4,82.4
1916-5,199.0
1916-6,920.2
1916-7,513.9
1916-8,396.9
1916-9,339.3
1916-10,320.7
1916-11,134.3
1916-12,8.9
1917-1,2.9
1917-2,47.6
1917-3,79.4
1917-4,38.1
1917-5,122.9
1917-6,703.7
1917-7,342.7
1917-8,335.1
1917-9,470.3
1917-10,264.1
1917-11,256.4
1917-12,41.6
1918-1,42.9
1918-2,5.0
1918-3,32.8
1918-4,51.3
1918-5,683.0
1918-6,464.3
1918-7,167.5
1918-8,376.0
1918-9,96.4
1918-10,233.2
1918-11,295.4
1918-12,54.1
1919-1,43.0
1919-2,6.1
1919-3,33.9
1919-4,65.9
1919-5,247.0
1919-6,636.8
1919-7,648.0
1919-8,484.2
1919-9,255.9
1919-10,249.2
1919-11,280.1
1919-12,53.0
1920-1,35.2
1920-2,5.5
1920-3,24.1
1920-4,172.0
1920-5,87.7
1920-6,964.3
1920-7,940.8
1920-8,235.0
1920-9,178.0
1920-10,350.1
1920-11,302.3
1920-12,8.2
1921-1,43.0
1921-2,4.7
1921-3,15.0
1921-4,171.3
1921-5,104.1
1921-6,489.1
1921-7,639.8
1921-8,641.9
1921-9,156.7
1921-10,302.4
1921-11,136.2
1921-12,15.8
1922-1,30.5
1922-2,21.4
1922-3,16.3
1922-4,89.6
1922-5,293.6
1922-6,663.1
1922-7,1025.1
1922-8,320.6
1922-9,222.4
1922-10,266.3
1922-11,293.7
1922-12,25.1
1923-1,24.7
1923-2,0.7
1923-3,78.9
1923-4,43.5
1923-5,80.0
1923-6,722.5
1923-7,1008.7
1923-8,943.0
1923-9,254.3
1923-10,203.1
1923-11,83.9
1923-12,41.6
1924-1,19.3
1924-2,2.9
1924-3,66.6
1924-4,111.0
1924-5,185.4
1924-6,1011.7
1924-7,1526.5
1924-8,624.0
1924-9,289.1
1924-10,176.5
1924-11,162.9
1924-12,50.4
1925-1,4.1
1925-2,16.5
1925-3,76.9
1925-4,93.4
1925-5,258.2
1925-6,688.8
1925-7,593.5
1925-8,554.1
1925-9,158.8
1925-10,295.4
1925-11,223.7
1925-12,98.8
1926-1,28.6
1926-2,5.8
1926-3,23.1
1926-4,55.8
1926-5,222.6
1926-6,563.9
1926-7,885.2
1926-8,536.0
1926-9,322.7
1926-10,216.7
1926-11,88.8
1926-12,16.2
1927-1,18.8
1927-2,35.3
1927-3,49.6
1927-4,86.5
1927-5,265.4
1927-6,720.2
1927-7,888.2
1927-8,315.0
1927-9,335.6
1927-10,135.8
1927-11,137.6
1927-12,6.8
1928-1,12.7
1928-2,65.9
1928-3,51.3
1928-4,121.1
1928-5,81.9
1928-6,590.7
1928-7,420.6
1928-8,553.2
1928-9,75.9
1928-10,321.5
1928-11,155.2
1928-12,52.7
1929-1,12.8
1929-2,29.8
1929-3,58.9
1929-4,210.7
1929-5,148.0
1929-6,946.6
1929-7,844.0
1929-8,293.9
1929-9,268.9
1929-10,350.4
1929-11,158.2
1929-12,39.4
1930-1,10.8
1930-2,10.8
1930-3,39.0
1930-4,102.7
1930-5,404.9
1930-6,633.1
1930-7,401.7
1930-8,273.4
1930-9,411.5
1930-10,433.9
1930-11,207.0
1930-12,89.2
1931-1,3.3
1931-2,0.3
1931-3,19.2
1931-4,126.9
1931-5,131.7
1931-6,541.7
1931-7,653.9
1931-8,1199.2
1931-9,163.2
1931-10,149.3
1931-11,164.3
1931-12,106.5
1932-1,0.1
1932-2,19.3
1932-3,28.6
1932-4,113.0
1932-5,646.5
1932-6,341.0
1932-7,716.4
1932-8,423.2
1932-9,317.3
1932-10,543.2
1932-11,223.2
1932-12,31.3
1933-1,1.0
1933-2,9.3
1933-3,36.9
1933-4,139.5
1933-5,738.8
1933-6,859.3
1933-7,773.4
1933-8,479.5
1933-9,469.7
1933-10,397.0
1933-11,126.1
1933-12,42.3
1934-1,74.5
1934-2,1.7
1934-3,47.7
1934-4,92.4
1934-5,106.7
1934-6,852.9
1934-7,415.0
1934-8,337.2
1934-9,48.4
1934-10,335.9
1934-11,93.4
1934-12,4.9
1935-1,23.9
